"","origin","destination","sector","value"
"473","AUS","NOR","C11",1.02148399114609
"474","AUS","POL","C11",1.04382526874542
"475","AUS","PRT","C11",1.03576398849487
"476","AUS","ROU","C11",1.02544236660004
"477","AUS","ROW","C11",1.02077137943107
"478","AUS","RUS","C11",1.02438002347946
"479","AUS","SVK","C11",1.03328767538071
"480","AUS","SVN","C11",1.04399540901184
"481","AUS","SWE","C11",1.02785931587219
"482","AUS","TUR","C11",1.02769250869751
"483","AUS","TWN","C11",1.02739800691605
"484","AUS","USA","C11",1.00006621423643
"485","AUS","AUS","C12",1
"486","AUS","AUT","C12",1.01614087820053
"487","AUS","BEL","C12",1.01172570466995
"488","AUS","BGR","C12",1.01242000341415
"489","AUS","BRA","C12",1.00252415150404
"490","AUS","CAN","C12",1.01984450340271
"491","AUS","CHE","C12",1.00601072609425
"492","AUS","CHN","C12",1.00800626814365
"493","AUS","CYP","C12",1.01179841995239
"494","AUS","CZE","C12",1.01972711205482
"495","AUS","DEU","C12",1.02068015098572
"496","AUS","DNK","C12",1.00983486831188
"497","AUS","ESP","C12",1.01700451493263
"498","AUS","EST","C12",1.00247252747417
"499","AUS","FIN","C12",1.01204727649689
"500","AUS","FRA","C12",1.0149817442894
"501","AUS","GBR","C12",1.01906415224075
"502","AUS","GRC","C12",1.02422003269196
"503","AUS","HRV","C12",1.025
"504","AUS","HUN","C12",1.00979836344719
"505","AUS","IDN","C12",1
"506","AUS","IND","C12",1.0151279270649
"507","AUS","IRL","C12",1.01539546847344
"508","AUS","ITA","C12",1.01601536154747
"509","AUS","JPN","C12",1.01735415220261
"510","AUS","KOR","C12",1.0215669298172
"511","AUS","LTU","C12",1.01371147871018
"512","AUS","LUX","C12",1.00247252747417
"513","AUS","LVA","C12",1.0211416721344
"514","AUS","MEX","C12",1.02297802448273
"515","AUS","MLT","C12",1.02387116909027
"516","AUS","NLD","C12",1.0178453707695
"517","AUS","NOR","C12",1.00158502623439
"518","AUS","POL","C12",1.02463631153107
"519","AUS","PRT","C12",1.00936015188694
"520","AUS","ROU","C12",1.01258905649185
"521","AUS","ROW","C12",1.00755689740091
"522","AUS","RUS","C12",1
"523","AUS","SVK","C12",1.00257543444633
"524","AUS","SVN","C12",1.01832776427269
"525","AUS","SWE","C12",1.01228937268257
"526","AUS","TUR","C12",1.0231880068779
"527","AUS","TWN","C12",1.01946127414703
"528","AUS","USA","C12",1.00056944653392
"529","AUS","AUS","C13",1
"530","AUS","AUT","C13",1.04366735935211
"531","AUS","BEL","C13",1.03896639823913
"532","AUS","BGR","C13",1.04125245571137
"533","AUS","BRA","C13",1.04515518665314
"534","AUS","CAN","C13",1.02352127313614
"535","AUS","CHE","C13",1.04688972473144
"536","AUS","CHN","C13",1.04413778305054
"537","AUS","CYP","C13",1.03868045568466
"538","AUS","CZE","C13",1.04396013259888
"539","AUS","DEU","C13",1.04445385932922
"540","AUS","DNK","C13",1.03265453100204
"541","AUS","ESP","C13",1.04509243488312
"542","AUS","EST","C13",1.04791653633118
"543","AUS","FIN","C13",1.04719259738922
"544","AUS","FRA","C13",1.03785936594009
"545","AUS","GBR","C13",1.04217888355255
"546","AUS","GRC","C13",1.04471656799316
"547","AUS","HRV","C13",1.04580378055572
"548","AUS","HUN","C13",1.04621354103088
"549","AUS","IDN","C13",1.00170074120164
"550","AUS","IND","C13",1.04596724033356
"551","AUS","IRL","C13",1.04545333385467
"552","AUS","ITA","C13",1.04739756584168
"553","AUS","JPN","C13",1.04853087902069
"554","AUS","KOR","C13",1.04650557518005
"555","AUS","LTU","C13",1.03161947488785
"556","AUS","LUX","C13",1.03659934043884
"557","AUS","LVA","C13",1.0482753610611
"558","AUS","MEX","C13",1.04604636669159
"559","AUS","MLT","C13",1.04743472576141
"560","AUS","NLD","C13",1.04541679382324
"561","AUS","NOR","C13",1.02643968343735
"562","AUS","POL","C13",1.0487086057663
"563","AUS","PRT","C13",1.04520955085754
"564","AUS","ROU","C13",1.04420205593109
"565","AUS","ROW","C13",1.03427263006771
"566","AUS","RUS","C13",1.04861953735352
"567","AUS","SVK","C13",1.04796854019165
"568","AUS","SVN","C13",1.04800321102142
"569","AUS","SWE","C13",1.04191745281219
"570","AUS","TUR","C13",1.04798522472382
"571","AUS","TWN","C13",1.04556271553039
"572","AUS","USA","C13",1.00012954543345
"573","AUS","AUS","C14",1
"574","AUS","AUT","C14",1.03108500003815
"575","AUS","BEL","C14",1.0355347776413
"576","AUS","BGR","C14",1.03997118711472
"577","AUS","BRA","C14",1.04268582820892
"578","AUS","CAN","C14",1.03832402706146
"579","AUS","CHE","C14",1.0397493314743
"580","AUS","CHN","C14",1.03910467624664
"581","AUS","CYP","C14",1.03463922262192
"582","AUS","CZE","C14",1.03631816148758
"583","AUS","DEU","C14",1.03828094720841
"584","AUS","DNK","C14",1.0403827381134
"585","AUS","ESP","C14",1.03833438634872
"586","AUS","EST","C14",1.04607897281647
"587","AUS","FIN","C14",1.04147216796875
"588","AUS","FRA","C14",1.03563064098358
"589","AUS","GBR","C14",1.03810054302216
"590","AUS","GRC","C14",1.03234142780304
"591","AUS","HRV","C14",1.03920176744461
"592","AUS","HUN","C14",1.03720769405365
"593","AUS","IDN","C14",1.00002384470776
"594","AUS","IND","C14",1.03370531082153
"595","AUS","IRL","C14",1.04075693130493
"596","AUS","ITA","C14",1.0386063337326
"597","AUS","JPN","C14",1.0168564248085
"598","AUS","KOR","C14",1.03438570022583
"599","AUS","LTU","C14",1.02955916881561
"600","AUS","LUX","C14",1.02787848949432
"601","AUS","LVA","C14",1.04194286346436
"602","AUS","MEX","C14",1.04122954845428
"603","AUS","MLT","C14",1.0342394733429
"604","AUS","NLD","C14",1.04054331302643
"605","AUS","NOR","C14",1.01361811518669
"606","AUS","POL","C14",1.03466057538986
"607","AUS","PRT","C14",1.03981902837753
"608","AUS","ROU","C14",1.0458446931839
"609","AUS","ROW","C14",1.03674128102936
"610","AUS","RUS","C14",1.03237248420715
"611","AUS","SVK","C14",1.03898515224457
"612","AUS","SVN","C14",1.0194894695282
"613","AUS","SWE","C14",1.04368430137634
"614","AUS","TUR","C14",1.03426494121552
"615","AUS","TWN","C14",1.03616039276123
"616","AUS","USA","C14",1
"617","AUS","AUS","C15",1
"618","AUS","AUT","C15",1.01175490736961
"619","AUS","BEL","C15",1.01809141516686
"620","AUS","BGR","C15",1.03951021194458
"621","AUS","BRA","C15",1.00290499269962
"622","AUS","CAN","C15",1.01913910627365
"623","AUS","CHE","C15",1.0022024486959
"624","AUS","CHN","C15",1.03261965990067
"625","AUS","CYP","C15",1.00080375142395
"626","AUS","CZE","C15",1.01617280840874
"627","AUS","DEU","C15",1.03100491285324
